C1=CC=CN=C1CCCF
C1=CC=CN=C1CCCCl
C1=CC=CN=C1CCCBr
C1=CC=CN=C1CCCI
C1=CC=NC=C1CCCF
C1=CC=NC=C1CCCCl
C1=CC=NC=C1CCCBr
C1=CC=NC=C1CCCI
C1=CN=CC=C1CCCF
C1=CN=CC=C1CCCCl
C1=CN=CC=C1CCCBr
C1=CN=CC=C1CCCI
