OCCC[N+](=O)([O-])
OCCCC1=CC=CC=C1
OCCCC(=O)(C)
FCCC[N+](=O)([O-])
FCCCC1=CC=CC=C1
FCCCC(=O)(C)
O(CC)CCC[N+](=O)([O-])
O(CC)CCCC1=CC=CC=C1
O(CC)CCCC(=O)(C)
O(C)CCC[N+](=O)([O-])
O(C)CCCC1=CC=CC=C1
O(C)CCCC(=O)(C)
